Solubiliti,Viscosity,y1,y2,y3,y4,y5,y6,HBA name,HBD name,SMILE HBA,SMILE HBD
-5.831671237945557,5.166848182678223,7,16,1,15,295.54820744649385,30.13893847976253,Benzyltrimethylammonium chloride,Thymol,C[N+](C)(C)Cc1ccccc1.[Cl-],Cc1ccc(C(C)C)c(O)c1
-7.884077072143555,1.4344004392623901,18,23,1,12,347.1692588831189,60.98280966199637,Menthol,Guaiacol,CC1CCC(C(C)C)C(O)C1,COc1ccccc1O
-4.440741539001465,2.041947364807129,10,16,1,11,347.9439534866858,218.77251311632176,Tetraethylammonium chloride,Thymol,CC[N+](CC)(CC)CC.[Cl-],Cc1ccc(C(C)C)c(O)c1
-5.085325717926025,1.7277570962905884,20,6,1,14,340.24783605329503,242.2268344584152,Diethylammonium chloride,Ethylene glycol,CC[NH2+]CC.[Cl-],OCCO
-4.9426798820495605,1.990378975868225,17,22,1,12,346.9891072051255,123.76002743424422,Tetraethylammonium bromide,"1,2-propanediol",CC[N+](CC)(CC)CC.[Br-],CC(O)CO
-2.6061954498291016,2.965301513671875,1,12,1,16,314.85803067452093,237.52908227689994,Acetylcholine chloride,Ethanolamine,CC(=O)OCC[N+](C)(C)C.[Cl-],NCCO
-4.244550704956055,2.401170492172241,9,24,1,13,339.5817227399471,220.29240143625435,Tetrabutylammonium chloride,"1,2-butanediol",CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],CCC(O)CO
-8.186141967773438,1.4331599473953247,18,22,1,12,342.7331815087036,52.23625360732426,Menthol,"1,2-propanediol",CC1CCC(C(C)C)C(O)C1,CC(O)CO
-9.206350326538086,1.18267822265625,18,6,1,1,331.6648049773728,80.61090956594701,Menthol,Ethylene glycol,CC1CCC(C(C)C)C(O)C1,OCCO
-4.224249839782715,2.4290428161621094,9,24,1,13,337.9788605217734,221.168367532843,Tetrabutylammonium chloride,"1,2-butanediol",CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],CCC(O)CO
-4.483035087585449,2.3163249492645264,1,7,1,14,336.34373581126687,182.78088154862127,Acetylcholine chloride,Acetic acid,CC(=O)OCC[N+](C)(C)C.[Cl-],CC(=O)O
-4.879364967346191,2.1469850540161133,17,22,1,12,337.99915622695784,123.76002743424422,Tetraethylammonium bromide,"1,2-propanediol",CC[N+](CC)(CC)CC.[Br-],CC(O)CO
-4.710608005523682,2.209178924560547,11,16,1,11,347.8773156866804,218.77251311632176,Tetramethylammonium chloride,Thymol,C[N+](C)(C)C.[Cl-],Cc1ccc(C(C)C)c(O)c1
-5.901408672332764,2.012758255004883,11,6,1,4,339.9510646822132,69.7828136046531,Tetramethylammonium chloride,Ethylene glycol,C[N+](C)(C)C.[Cl-],OCCO
-3.506598472595215,3.256542921066284,10,18,1,15,307.49560461567245,213.9694244129166,Tetraethylammonium chloride,Triethyleneglycol,CC[N+](CC)(CC)CC.[Cl-],OCCOCCOCCO
-4.153680324554443,2.989025354385376,24,2,1,5,334.0793787681109,125.25419379084805,Allyltriphenylphosphonium bromide,"2,6-xylenol",C=CC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],Cc1cccc(C)c1O
-4.106076240539551,3.0981223583221436,14,19,1,6,347.8502780938537,197.06462142597488,Trioctylmethylammonium chloride,Octanoic acid,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],CCCCCCCC(=O)O
-8.634353637695312,1.749321699142456,18,13,1,1,322.98971268051946,67.20712355290465,Menthol,Diethyleneglycol,CC1CCC(C(C)C)C(O)C1,OCCOCCO
-4.392909526824951,2.95863938331604,8,14,1,7,328.63068491168104,53.18083171412215,Tetrabutylammonium bromide,Methyldiethanol amine,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CN(CCO)CCO
-4.425122261047363,2.9519009590148926,8,2,1,7,330.44124322156756,110.07443495102765,Tetrabutylammonium bromide,"2,6-xylenol",CCCC[N+](CCCC)(CCCC)CCCC.[Br-],Cc1cccc(C)c1O
-4.623007297515869,2.583197832107544,12,0,1,16,323.5550987299349,87.58510418173762,Triethylmethylammonium chloride,Ethylenecyanohydrin,CC[N+](C)(CC)CC.[Cl-],N#CCCO
-4.6343092918396,2.3370983600616455,20,0,1,14,328.1482940002242,171.1925563008253,Diethylammonium chloride,Ethylenecyanohydrin,CC[NH2+]CC.[Cl-],N#CCCO
-5.285597324371338,2.2557356357574463,24,6,1,16,342.98543332452044,36.97409776462183,Allyltriphenylphosphonium bromide,Ethylene glycol,C=CC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],OCCO
